ticket_id,user_id,plan_type,is_churned,channel,status,sentiment,primary_label,secondary_label,tertiary_label,ticket_body,created_at
TKT-81214B7E,USR-00129,Standard,True,Chat,Resolved,Neutral,Billing,Failed Payment,Credit Card Expired,I signed up for the annual plan but I'm still being billed monthly.,2025-12-29
TKT-CF705519,USR-00185,Standard,True,Email,Resolved,Neutral,Billing,Failed Payment,Credit Card Expired,I signed up for the annual plan but I'm still being billed monthly.,2025-11-30
TKT-C59C296A,USR-00073,Standard,False,Chat,Open,Frustrated,Product / Feature,Feature Request,API Access,I'm not receiving any notifications when new orders come in.,2025-09-16
TKT-D64D0042,USR-00166,Basic,False,Phone,Open,Angry,Marketing / SEO,Campaign Not Running,Ad Integration,My website hasn't updated since I made changes two days ago.,2026-01-10
TKT-7A28ACD8,USR-00086,Premium,False,Phone,Resolved,Positive,Account Access,Account Setup,Timezone Setting,I'm getting an error when trying to add a new team member.,2026-03-06
TKT-EF93205E,USR-00009,Standard,False,Email,Escalated,Angry,Billing,Duplicate Charge,Promo Code Applied,There's an unexpected charge on my account from last week.,2026-01-08
TKT-31B53554,USR-00027,Standard,True,Email,Escalated,Frustrated,Account Access,Account Locked,Suspicious Activity,I'm getting an error when trying to add a new team member.,2026-01-04
TKT-7674426E,USR-00054,Premium,False,Phone,Resolved,Positive,Onboarding,Training Request,Dashboard Walkthrough,Can someone walk me through how to set up my first email campaign?,2025-12-07
TKT-241224E3,USR-00191,Basic,True,Chat,Resolved,Frustrated,Onboarding,Integration Help,Square Integration,My site still isn't published after completing setup. What's missing?,2025-10-14
TKT-1DBF09F4,USR-00021,Basic,False,Email,Resolved,Frustrated,Account Access,Permissions Error,Staff Access,My staff member can't access the dashboard even though I invited them.,2026-01-13
TKT-FB113059,USR-00170,Premium,False,Phone,In Progress,Frustrated,Account Access,Permissions Error,Admin Role,My account got locked and I don't know why.,2025-09-16
TKT-069D6E8D,USR-00097,Basic,False,Chat,Resolved,Neutral,Online Ordering,Menu Not Updating,Price Sync,A customer said they placed an order but I never received it in my POS.,2025-10-02
TKT-667DF2A2,USR-00014,Basic,False,Email,Resolved,Frustrated,Online Ordering,Ordering Disabled,Account Suspension,"My online ordering page is completely broken, customers can't place orders.",2026-01-15
TKT-12464126,USR-00043,Standard,False,Chat,Resolved,Neutral,Billing,Duplicate Charge,Subscription Upgrade Flow,There's an unexpected charge on my account from last week.,2025-09-12
TKT-8AF8FC6F,USR-00085,Basic,True,Phone,Resolved,Angry,Account Access,Account Setup,Profile Incomplete,I can't log in. It says my password is wrong but I just reset it.,2025-12-18
TKT-D59C6FD0,USR-00067,Premium,False,Phone,In Progress,Frustrated,Marketing / SEO,Google Listing Issue,Hours Not Updating,My website hasn't updated since I made changes two days ago.,2025-09-22
TKT-26C88964,USR-00107,Standard,True,Email,Open,Positive,Onboarding,Integration Help,Toast Integration,I'm trying to connect my POS but I keep getting an error during setup.,2026-01-13
TKT-BB26195C,USR-00092,Basic,False,Chat,Resolved,Frustrated,Billing,Invoice Question,Tax Documentation,My payment failed again even though I updated my card.,2026-02-20
TKT-25CF510A,USR-00059,Basic,True,Chat,Resolved,Positive,Marketing / SEO,Website Not Updating,Image Upload,My Google listing is showing the wrong address. I need this fixed ASAP.,2025-10-01
TKT-741A74F1,USR-00088,Premium,False,Phone,Resolved,Frustrated,Marketing / SEO,Campaign Not Running,Ad Integration,My website hasn't updated since I made changes two days ago.,2025-11-01
TKT-6A9A76E9,USR-00038,Premium,False,Email,Resolved,Angry,Onboarding,Go-Live Issue,Ordering Not Active,My site still isn't published after completing setup. What's missing?,2026-01-08
TKT-D26044C5,USR-00074,Standard,False,Chat,Resolved,Neutral,Marketing / SEO,Google Listing Issue,Address Incorrect,My Google listing is showing the wrong address. I need this fixed ASAP.,2025-11-07
TKT-FF20C28D,USR-00047,Premium,False,Phone,Resolved,Frustrated,Online Ordering,Ordering Disabled,Account Suspension,"My online ordering page is completely broken, customers can't place orders.",2025-12-28
TKT-19882B95,USR-00157,Basic,False,Phone,Resolved,Positive,Billing,Failed Payment,Credit Card Expired,I was charged twice this month and need a refund right away.,2025-10-20
TKT-C324EF81,USR-00141,Standard,True,Chat,In Progress,Frustrated,Account Access,Account Locked,Billing Hold,I can't log in. It says my password is wrong but I just reset it.,2025-11-27
TKT-7B496B1B,USR-00148,Premium,False,Chat,Resolved,Frustrated,Onboarding,Integration Help,Square Integration,I need help getting my custom domain pointed to my Owner site.,2025-09-18
TKT-BCFA1928,USR-00144,Basic,False,Email,Open,Frustrated,Billing,Failed Payment,Bank Decline,I signed up for the annual plan but I'm still being billed monthly.,2025-11-16
TKT-CCFDFA7F,USR-00172,Premium,False,Email,Resolved,Frustrated,Account Access,Account Locked,Suspicious Activity,My staff member can't access the dashboard even though I invited them.,2025-12-04
TKT-8A897F61,USR-00022,Standard,True,Email,Escalated,Neutral,Account Access,Login Issue,SSO Failure,My account got locked and I don't know why.,2025-10-13
TKT-1E88E108,USR-00168,Standard,False,Email,Resolved,Frustrated,Product / Feature,Performance Issue,Data Lag,My Square integration stopped syncing orders since the update.,2025-09-10
TKT-DC119529,USR-00112,Standard,False,Chat,Resolved,Frustrated,Account Access,Account Locked,Too Many Attempts,I'm getting an error when trying to add a new team member.,2026-02-14
TKT-876A0CCD,USR-00043,Standard,False,Phone,Resolved,Frustrated,Account Access,Account Locked,Billing Hold,My staff member can't access the dashboard even though I invited them.,2025-09-11
TKT-14C36606,USR-00020,Basic,False,Chat,In Progress,Frustrated,Product / Feature,Feature Not Working,Reporting,My Square integration stopped syncing orders since the update.,2025-11-30
TKT-30AC108E,USR-00077,Basic,False,Email,Resolved,Neutral,Marketing / SEO,Google Listing Issue,Address Incorrect,My Google listing is showing the wrong address. I need this fixed ASAP.,2026-01-05
TKT-8AC2EBBB,USR-00068,Standard,False,Phone,Resolved,Positive,Account Access,Login Issue,SSO Failure,I can't log in. It says my password is wrong but I just reset it.,2026-01-01
TKT-AF67E595,USR-00085,Basic,True,Chat,In Progress,Frustrated,Marketing / SEO,SEO Performance,Review Response,The email campaign I scheduled yesterday never went out.,2025-12-07
TKT-5911E784,USR-00076,Standard,True,Phone,Open,Neutral,Onboarding,Training Request,Dashboard Walkthrough,I'm trying to connect my POS but I keep getting an error during setup.,2025-12-14
TKT-7B83F837,USR-00137,Basic,True,Phone,Resolved,Frustrated,Marketing / SEO,Google Listing Issue,Hours Not Updating,My Google listing is showing the wrong address. I need this fixed ASAP.,2026-02-25
TKT-EDE3D729,USR-00137,Basic,True,Email,In Progress,Neutral,Online Ordering,Ordering Disabled,Account Suspension,I updated my menu yesterday but the changes aren't showing up on my site.,2026-03-04
TKT-4AB07564,USR-00123,Standard,True,Phone,In Progress,Angry,Onboarding,Training Request,Campaign Setup,My site still isn't published after completing setup. What's missing?,2026-02-22
TKT-A6EB14F8,USR-00020,Basic,False,Email,In Progress,Frustrated,Product / Feature,Integration Issue,Payment Gateway,I'm not receiving any notifications when new orders come in.,2025-11-22
TKT-B5B902F0,USR-00063,Standard,False,Email,Open,Neutral,Onboarding,Training Request,Campaign Setup,My site still isn't published after completing setup. What's missing?,2025-09-27
TKT-F7BF0BCB,USR-00193,Premium,False,Phone,Open,Frustrated,Account Access,Account Setup,Timezone Setting,My staff member can't access the dashboard even though I invited them.,2025-10-11
TKT-B7997F22,USR-00157,Basic,False,Phone,Resolved,Frustrated,Billing,Refund Request,Cancellation Refund,Can you send me an invoice for my records? I can't find it in the portal.,2026-02-01
TKT-BBE4E00A,USR-00182,Basic,False,Chat,Open,Neutral,Onboarding,Integration Help,Toast Integration,I'm trying to connect my POS but I keep getting an error during setup.,2025-10-02
TKT-0A3A7EEF,USR-00039,Basic,False,Chat,Resolved,Neutral,Account Access,Permissions Error,Admin Role,The two-factor authentication code isn't being sent to my phone.,2025-11-12
TKT-72B20B6D,USR-00147,Basic,True,Chat,Open,Neutral,Online Ordering,Ordering Disabled,Account Suspension,A customer said they placed an order but I never received it in my POS.,2025-09-28
TKT-DA823424,USR-00191,Basic,True,Chat,In Progress,Frustrated,Billing,Duplicate Charge,Promo Code Applied,I signed up for the annual plan but I'm still being billed monthly.,2025-12-11
TKT-570E705A,USR-00082,Basic,False,Chat,In Progress,Neutral,Online Ordering,Order Not Received,Third-Party Integration,Ordering just stopped working on my site with no warning.,2025-10-18
TKT-7BE94B87,USR-00059,Basic,True,Phone,Resolved,Angry,Marketing / SEO,Website Not Updating,Content Change,My business hours on Google are still showing the old times.,2026-02-09
TKT-0F526171,USR-00070,Premium,False,Phone,Resolved,Frustrated,Online Ordering,Order Not Received,Third-Party Integration,"My online ordering page is completely broken, customers can't place orders.",2025-09-23
TKT-D552F2A7,USR-00173,Basic,False,Email,Resolved,Angry,Product / Feature,Performance Issue,Timeout Error,I'm not receiving any notifications when new orders come in.,2025-09-14
TKT-100FCDF2,USR-00069,Basic,True,Chat,Resolved,Frustrated,Product / Feature,Integration Issue,POS Integration,"Everything is really slow today, pages take forever to load.",2025-12-18
TKT-F26335B3,USR-00125,Basic,False,Phone,Resolved,Positive,Onboarding,Go-Live Issue,Site Not Published,My site still isn't published after completing setup. What's missing?,2026-02-12
TKT-93DEC853,USR-00055,Basic,False,Email,Open,Angry,Marketing / SEO,Campaign Not Running,Email Campaign,My website hasn't updated since I made changes two days ago.,2026-02-12
TKT-DE577C3D,USR-00071,Standard,False,Chat,Resolved,Frustrated,Billing,Invoice Question,Monthly Summary,There's an unexpected charge on my account from last week.,2026-02-19
TKT-82C05FAE,USR-00014,Basic,False,Email,In Progress,Neutral,Product / Feature,Feature Request,Custom Branding,My Square integration stopped syncing orders since the update.,2025-09-22
TKT-B344DEBE,USR-00018,Basic,False,Phone,In Progress,Frustrated,Onboarding,Integration Help,Clover Integration,My site still isn't published after completing setup. What's missing?,2026-02-16
TKT-D8E464EF,USR-00014,Basic,False,Phone,Resolved,Neutral,Onboarding,Integration Help,Clover Integration,I'm trying to connect my POS but I keep getting an error during setup.,2025-11-25
TKT-1B30B962,USR-00072,Premium,True,Phone,In Progress,Neutral,Product / Feature,Feature Request,API Access,I'm not receiving any notifications when new orders come in.,2025-11-29
TKT-0B7A58F3,USR-00096,Standard,False,Email,Resolved,Frustrated,Billing,Duplicate Charge,Promo Code Applied,My payment failed again even though I updated my card.,2026-01-01
TKT-27AF5614,USR-00163,Premium,False,Email,Resolved,Angry,Account Access,Login Issue,2FA Problem,My account got locked and I don't know why.,2025-11-09
TKT-F82809FE,USR-00079,Standard,False,Phone,Resolved,Frustrated,Product / Feature,Integration Issue,Third-Party App,The reporting dashboard isn't loading for me at all.,2026-03-04
TKT-FA438A63,USR-00035,Basic,False,Phone,In Progress,Frustrated,Product / Feature,Feature Not Working,Reporting,I've been asking for multi-location support for months. Any update?,2025-09-10
TKT-CD5A4550,USR-00140,Premium,False,Email,Escalated,Positive,Product / Feature,Performance Issue,Slow Load Time,The reporting dashboard isn't loading for me at all.,2025-10-14
TKT-2A6AC4B5,USR-00178,Standard,False,Email,In Progress,Positive,Marketing / SEO,Website Not Updating,Image Upload,My Google listing is showing the wrong address. I need this fixed ASAP.,2025-11-09
TKT-A9E3F4FC,USR-00014,Basic,False,Email,Resolved,Angry,Account Access,Permissions Error,Staff Access,My staff member can't access the dashboard even though I invited them.,2026-03-03
TKT-F0A44AE0,USR-00200,Standard,False,Phone,Resolved,Neutral,Product / Feature,Feature Request,Multi-Location,The reporting dashboard isn't loading for me at all.,2026-01-27
TKT-60E8A4A6,USR-00154,Basic,True,Phone,Resolved,Frustrated,Product / Feature,Feature Not Working,Dashboard,"Everything is really slow today, pages take forever to load.",2025-10-01
TKT-FB04C872,USR-00107,Standard,True,Phone,Resolved,Neutral,Account Access,Login Issue,Password Reset,My account got locked and I don't know why.,2025-10-21
TKT-08E0189F,USR-00044,Premium,True,Email,Resolved,Angry,Billing,Failed Payment,Bank Decline,There's an unexpected charge on my account from last week.,2026-01-06
TKT-DDB3DF8A,USR-00168,Standard,False,Phone,Escalated,Angry,Billing,Duplicate Charge,Promo Code Applied,Can you send me an invoice for my records? I can't find it in the portal.,2025-12-10
TKT-A31751F5,USR-00164,Premium,True,Phone,Resolved,Frustrated,Online Ordering,Menu Not Updating,Category Order,Ordering just stopped working on my site with no warning.,2025-11-13
TKT-E2266BEF,USR-00182,Basic,False,Phone,Resolved,Angry,Online Ordering,Ordering Disabled,Account Suspension,A customer said they placed an order but I never received it in my POS.,2025-11-17
TKT-F53B3A6A,USR-00043,Standard,False,Email,Resolved,Frustrated,Account Access,Account Setup,Profile Incomplete,I can't log in. It says my password is wrong but I just reset it.,2026-01-08
TKT-03077C3D,USR-00027,Standard,True,Chat,Open,Frustrated,Account Access,Account Locked,Billing Hold,My staff member can't access the dashboard even though I invited them.,2026-03-06
TKT-9548D4E4,USR-00142,Standard,False,Email,In Progress,Frustrated,Product / Feature,Integration Issue,POS Integration,My Square integration stopped syncing orders since the update.,2025-12-19
TKT-A4BD006D,USR-00061,Premium,True,Email,In Progress,Angry,Billing,Refund Request,Cancellation Refund,I was charged twice this month and need a refund right away.,2025-12-20
TKT-636BFBAC,USR-00109,Basic,False,Phone,In Progress,Frustrated,Billing,Invoice Question,Monthly Summary,Can you send me an invoice for my records? I can't find it in the portal.,2026-02-18
TKT-5C6877B5,USR-00193,Premium,False,Phone,In Progress,Positive,Marketing / SEO,Google Listing Issue,Address Incorrect,My Google listing is showing the wrong address. I need this fixed ASAP.,2025-09-22
TKT-EF0044EB,USR-00012,Premium,False,Phone,Resolved,Frustrated,Online Ordering,Page Not Loading,Mobile Browser,"My online ordering page is completely broken, customers can't place orders.",2025-12-19
TKT-223B958E,USR-00172,Premium,False,Phone,Resolved,Frustrated,Account Access,Login Issue,2FA Problem,My account got locked and I don't know why.,2025-11-12
TKT-E8BD7379,USR-00127,Basic,False,Chat,In Progress,Positive,Billing,Invoice Question,Annual Billing,Can you send me an invoice for my records? I can't find it in the portal.,2025-11-04
TKT-07ADB6EF,USR-00168,Standard,False,Email,Open,Frustrated,Onboarding,Setup Confusion,Domain Setup,I need help getting my custom domain pointed to my Owner site.,2025-12-29
TKT-6256EB2E,USR-00191,Basic,True,Chat,In Progress,Frustrated,Online Ordering,Menu Not Updating,Item Availability,"My online ordering page is completely broken, customers can't place orders.",2025-10-13
TKT-E966B4AB,USR-00161,Standard,False,Email,Open,Angry,Online Ordering,Order Not Received,Notification Failure,The checkout page keeps throwing an error on mobile devices.,2025-09-24
TKT-50438C1A,USR-00118,Premium,False,Phone,In Progress,Angry,Billing,Failed Payment,Bank Decline,Can you send me an invoice for my records? I can't find it in the portal.,2025-10-16
TKT-14F9341A,USR-00097,Basic,False,Email,In Progress,Neutral,Online Ordering,Order Not Received,POS Sync,Ordering just stopped working on my site with no warning.,2026-01-07
TKT-A1FCCC67,USR-00154,Basic,True,Email,In Progress,Angry,Product / Feature,Integration Issue,POS Integration,"Everything is really slow today, pages take forever to load.",2026-02-16
TKT-C1F681A6,USR-00033,Basic,True,Email,Resolved,Angry,Billing,Refund Request,Trial Extension,I was charged twice this month and need a refund right away.,2025-09-24
TKT-9BEB6F98,USR-00037,Premium,False,Phone,Resolved,Positive,Account Access,Account Setup,New User Invite,I'm getting an error when trying to add a new team member.,2025-12-02
TKT-78972161,USR-00093,Premium,True,Chat,Escalated,Neutral,Online Ordering,Order Not Received,Third-Party Integration,The checkout page keeps throwing an error on mobile devices.,2026-02-16
TKT-23BF7648,USR-00092,Basic,False,Email,In Progress,Angry,Marketing / SEO,SEO Performance,Keyword Targeting,The email campaign I scheduled yesterday never went out.,2025-12-28
TKT-C25B3472,USR-00164,Premium,True,Phone,Resolved,Angry,Billing,Duplicate Charge,Subscription Upgrade Flow,I signed up for the annual plan but I'm still being billed monthly.,2026-03-09
TKT-E5CAC0AC,USR-00092,Basic,False,Phone,In Progress,Neutral,Product / Feature,Integration Issue,POS Integration,"Everything is really slow today, pages take forever to load.",2025-11-21
TKT-A139D9A1,USR-00004,Basic,False,Phone,Resolved,Frustrated,Online Ordering,Menu Not Updating,Category Order,Ordering just stopped working on my site with no warning.,2025-10-11
TKT-354D440B,USR-00085,Basic,True,Chat,Escalated,Frustrated,Product / Feature,Feature Request,API Access,I'm not receiving any notifications when new orders come in.,2025-10-19
TKT-C91709A6,USR-00020,Basic,False,Email,Resolved,Frustrated,Billing,Failed Payment,Credit Card Expired,My payment failed again even though I updated my card.,2026-02-21
TKT-9F2AEBC5,USR-00069,Basic,True,Email,Open,Frustrated,Online Ordering,Ordering Disabled,Account Suspension,A customer said they placed an order but I never received it in my POS.,2025-12-25
TKT-31675711,USR-00100,Basic,False,Phone,In Progress,Frustrated,Product / Feature,Feature Not Working,Reporting,The reporting dashboard isn't loading for me at all.,2025-12-05
TKT-E08F8D26,USR-00107,Standard,True,Chat,Resolved,Neutral,Billing,Failed Payment,Insufficient Funds,I signed up for the annual plan but I'm still being billed monthly.,2026-02-19
TKT-006048EB,USR-00061,Premium,True,Email,Open,Frustrated,Onboarding,Go-Live Issue,Listing Not Live,My site still isn't published after completing setup. What's missing?,2025-11-12
TKT-EB19DE8D,USR-00041,Standard,False,Phone,Open,Angry,Onboarding,Integration Help,Clover Integration,I'm trying to connect my POS but I keep getting an error during setup.,2025-11-17
TKT-D2B16561,USR-00150,Basic,False,Email,Escalated,Frustrated,Onboarding,Setup Confusion,POS Connection,How do I import my existing menu? I can't figure out the format.,2025-09-16
TKT-F970C2AC,USR-00004,Basic,False,Chat,Resolved,Angry,Online Ordering,Order Not Received,Third-Party Integration,I updated my menu yesterday but the changes aren't showing up on my site.,2026-02-21
TKT-748DA8D3,USR-00097,Basic,False,Chat,Escalated,Neutral,Billing,Refund Request,Cancellation Refund,I signed up for the annual plan but I'm still being billed monthly.,2025-10-31
TKT-4B2AF469,USR-00107,Standard,True,Phone,Resolved,Frustrated,Billing,Failed Payment,Credit Card Expired,There's an unexpected charge on my account from last week.,2025-09-24
TKT-9CBEA3FF,USR-00021,Basic,False,Email,Escalated,Frustrated,Marketing / SEO,Google Listing Issue,Address Incorrect,My Google listing is showing the wrong address. I need this fixed ASAP.,2025-12-10
TKT-7197D8F1,USR-00042,Basic,True,Phone,Escalated,Frustrated,Billing,Invoice Question,Annual Billing,Can you send me an invoice for my records? I can't find it in the portal.,2026-02-10
TKT-2AAF9E23,USR-00194,Basic,True,Chat,Resolved,Frustrated,Account Access,Login Issue,SSO Failure,My staff member can't access the dashboard even though I invited them.,2026-03-04
TKT-E768F2AE,USR-00042,Basic,True,Chat,Open,Positive,Onboarding,Go-Live Issue,Listing Not Live,How do I import my existing menu? I can't figure out the format.,2025-10-23
TKT-A5D1EA26,USR-00166,Basic,False,Email,Resolved,Angry,Onboarding,Setup Confusion,POS Connection,My site still isn't published after completing setup. What's missing?,2026-01-31
TKT-80242945,USR-00137,Basic,True,Email,Resolved,Frustrated,Account Access,Permissions Error,Staff Access,My account got locked and I don't know why.,2025-09-27
TKT-326E0E22,USR-00194,Basic,True,Chat,In Progress,Angry,Onboarding,Training Request,Reporting Tutorial,I'm trying to connect my POS but I keep getting an error during setup.,2025-12-12
TKT-24A24EB8,USR-00113,Basic,False,Email,Escalated,Angry,Account Access,Account Locked,Too Many Attempts,I can't log in. It says my password is wrong but I just reset it.,2025-11-16
TKT-D3E41C23,USR-00127,Basic,False,Phone,Resolved,Neutral,Onboarding,Setup Confusion,POS Connection,I need help getting my custom domain pointed to my Owner site.,2025-12-17
TKT-6839E4DD,USR-00180,Basic,True,Email,Resolved,Frustrated,Online Ordering,Ordering Disabled,Integration Error,"My online ordering page is completely broken, customers can't place orders.",2025-09-16
TKT-A2461DF7,USR-00069,Basic,True,Chat,Resolved,Frustrated,Online Ordering,Ordering Disabled,Integration Error,The checkout page keeps throwing an error on mobile devices.,2026-02-14
TKT-378F98B7,USR-00125,Basic,False,Chat,Resolved,Frustrated,Billing,Invoice Question,Tax Documentation,I signed up for the annual plan but I'm still being billed monthly.,2026-03-06
TKT-D34A28E9,USR-00121,Premium,True,Chat,Resolved,Positive,Marketing / SEO,SEO Performance,Review Response,My website hasn't updated since I made changes two days ago.,2025-11-04
TKT-CB215288,USR-00117,Basic,False,Chat,Open,Frustrated,Account Access,Permissions Error,Staff Access,My account got locked and I don't know why.,2026-01-31
TKT-A45F6E43,USR-00066,Standard,False,Email,Open,Neutral,Marketing / SEO,SEO Performance,Review Response,My business hours on Google are still showing the old times.,2025-11-28
TKT-E8224CCE,USR-00164,Premium,True,Phone,Escalated,Frustrated,Online Ordering,Ordering Disabled,Setup Incomplete,A customer said they placed an order but I never received it in my POS.,2025-09-12
TKT-1E8FB82C,USR-00036,Basic,False,Phone,Resolved,Frustrated,Account Access,Account Setup,Profile Incomplete,My account got locked and I don't know why.,2025-12-17
TKT-777E9060,USR-00161,Standard,False,Chat,Resolved,Frustrated,Marketing / SEO,Google Listing Issue,Hours Not Updating,My business hours on Google are still showing the old times.,2026-01-01
TKT-0BEE165D,USR-00113,Basic,False,Email,Escalated,Neutral,Billing,Failed Payment,Insufficient Funds,My payment failed again even though I updated my card.,2025-11-28
TKT-1024672D,USR-00054,Premium,False,Chat,Resolved,Frustrated,Online Ordering,Order Not Received,Notification Failure,A customer said they placed an order but I never received it in my POS.,2026-02-24
TKT-DFE01B07,USR-00008,Basic,False,Chat,In Progress,Neutral,Marketing / SEO,Google Listing Issue,Hours Not Updating,My website hasn't updated since I made changes two days ago.,2026-02-04
TKT-CE972B18,USR-00130,Basic,False,Chat,Escalated,Frustrated,Account Access,Account Locked,Suspicious Activity,I can't log in. It says my password is wrong but I just reset it.,2025-09-27
TKT-C2C14217,USR-00080,Basic,False,Email,Resolved,Frustrated,Account Access,Login Issue,SSO Failure,I'm getting an error when trying to add a new team member.,2026-02-22
TKT-8F685CFF,USR-00083,Standard,False,Chat,Resolved,Neutral,Account Access,Permissions Error,Admin Role,My staff member can't access the dashboard even though I invited them.,2025-11-14
TKT-14F43A13,USR-00085,Basic,True,Email,Resolved,Neutral,Marketing / SEO,Campaign Not Running,SMS Campaign,My website hasn't updated since I made changes two days ago.,2026-01-06
TKT-D381F44D,USR-00002,Standard,False,Chat,Open,Frustrated,Marketing / SEO,Google Listing Issue,Hours Not Updating,The email campaign I scheduled yesterday never went out.,2025-12-24
TKT-0D18C187,USR-00120,Premium,False,Email,In Progress,Angry,Online Ordering,Menu Not Updating,Price Sync,"My online ordering page is completely broken, customers can't place orders.",2025-12-18
TKT-72D90EDC,USR-00064,Standard,False,Email,In Progress,Positive,Billing,Failed Payment,Bank Decline,I signed up for the annual plan but I'm still being billed monthly.,2025-09-25
TKT-D4448BFD,USR-00012,Premium,False,Chat,Resolved,Neutral,Billing,Failed Payment,Bank Decline,Can you send me an invoice for my records? I can't find it in the portal.,2026-01-06
TKT-748B6F74,USR-00119,Basic,False,Chat,Resolved,Positive,Marketing / SEO,Google Listing Issue,Hours Not Updating,My Google listing is showing the wrong address. I need this fixed ASAP.,2026-01-26
TKT-91C52903,USR-00162,Standard,False,Email,Resolved,Frustrated,Online Ordering,Menu Not Updating,Item Availability,A customer said they placed an order but I never received it in my POS.,2025-11-23
TKT-8B6AB808,USR-00187,Premium,False,Chat,Open,Neutral,Marketing / SEO,Google Listing Issue,Address Incorrect,My website hasn't updated since I made changes two days ago.,2025-09-14
TKT-E3A1B0FA,USR-00082,Basic,False,Email,Resolved,Neutral,Onboarding,Setup Confusion,POS Connection,I'm trying to connect my POS but I keep getting an error during setup.,2026-02-23
